Product Name,Product Image URL,Product Description
Gartenmöbel-Set Cuba/Lisa,https://media.cdn.bauhaus/m/1191947/15.jpg,"Das 5-teilige Set Cuba/Lisa überzeugt durch schlichte Eleganz und hochwertige Verarbeitung. Es besteht aus einem Camping-Tisch aus Kunststoff und 4 bequemen Stapelstühlen. Die superleichten Stühle sind komplett aus Kunststoff gefertigt. Um die Optik der Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege."
Loungemöbel-Set Pauline,https://media.cdn.bauhaus/m/667008/15.jpg,"Das 2-teilige Gartenmöbelset Pauline besteht aus einem Pauline Gartensessel und einem Pauline Gartenhocker. Beide Bestandteile des Sets bestehen aus einem hochwertigem und pflegeleichtem Polyrattan-Geflecht mit stabilem Aluminium Untergestell. Die Rückenlehne des Gartensessels lässt sich mit Hilfe einer Gasdruckfeder, über einen seitlichen Hebel, bequem und einfach nach hinten verstellen. Auf den komfortablen Kissen des Sessels kann man, in Verbindung mit dem Hocker als Fußablage, ideal entspannen und den Sommer genießen. Um die Optik von Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege. Gartenmöbel-Sets werden ohne Dekoration verkauft."
"Sunfun

Balkonmöbel-Set Diana/Moni III",https://media.cdn.bauhaus/m/209771-1/15.jpg,"Das Balkonmöbel-Set Diana/Moni besteht aus einem Balkon-Klapptisch und 2 Gartenstühlen. Der halbrunde Balkontisch Diana wurde aus Akazienholz aus nachhaltig bewirtschafteten Wäldern hergestellt. Der passende Klappstuhl Moni wurde aus Akazienholz gefertigt. Das Stahlgestell ist dank einer Beschichtung unempfindlich gegen Witterungseinflüsse. Tisch und Stühle sind klappbar, sodass sie platzsparend verstaut werden können und wurden mit Hartzholz-Öl vorbehandelt. Um die Optik von Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege. Möbel werden ohne Dekoration verkauft."
"Sunfun

Balkonmöbel-Set Maja/Melina II",https://media.cdn.bauhaus/m/1112634/15.jpg,"Das 3-teilige Gartenmöbelset Maja/Melina von Sunfun besteht aus einem Tisch und zwei Stühlen. Der Sunfun Balkontisch Maja ist dank seiner Abmessungen ideal für den Einsatz auf dem Balkon geeignet, kann aber auch wunderbar im Garten oder auf der Terrasse verwendet werden. Er ist aus hochwertigem, pulverbeschichtetem Stahl gefertigt und dadurch besonders robust sowie beständig. Bei Nichtgebrauch kann der Tisch ganz einfach zusammengeklappt und verstaut werden. Der Balkontisch bietet Platz für bis zu 2 Personen und wird fertig montiert geliefert. Der Sunfun Stapelsessel Melina besteht aus pulverbeschichtetem Stahl. Er überzeugt durch seine Unempfindlichkeit gegenüber Wettereinflüssen und lässt sich bei Nichtgebrauch platzsparend stapeln. Das Material ist äußerst pflegeleicht. Um die Optik von Gartenmöbeln langfristig schön und frisch zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege. Gartenmöbel werden ohne Dekoration verkauft."
Gartenmöbel-Set Maja,https://media.cdn.bauhaus/m/352574/15.jpg,"Das 7-teilige Gartenmöbel-Set ist ein moderner Hingucker in dezenten Grautönen und besticht durch eine Kombination aus Textilen und Naturhölzern. Das Set besteht aus einem massiven Gartentisch und 6 Maja Regie-Klappstühlen. Die anthrazitfarbenen Regiestühle besitzen ein Gestell aus Aluminium. Dank Klappfunktion können die Stühle platzsparend aufbewahrt werden. Die Sitzflächen-Bezüge sind graumeliert und aus Textilen gefertigt. Der massive Holztisch mit X-Fuß-Gestell ist aus robustem Robinienholz gefertigt. Dank seiner perfekten handwerklichen Fertigung zeichnet sich der Tisch durch seine Stabilität und Langlebigkeit aus. Um die Optik von Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege. Das Gartenmöbel-Set wird ohne Dekoration verkauft."
Gartenmöbel-Set Maja/Carina,https://media.cdn.bauhaus/m/1176860/15.jpg,"Das 5-teilige Gartenmöbel-Set Maja/Carina von Sunfun besteht aus einem Gartentisch und 4 Gartenstühlen. Der Sunfun Gartentisch Maja mit pulverbeschichtetem, witterungsbeständigen Aluminium-Gestell und Glasplatte, bietet Platz für bis zu 4 Personen. Die Glastischplatte aus Sicherheitsglas hat eine Stärke von 8 mm, ist witterungsbeständig und optimal auf das graue Gestell abgestimmt. Der Sunfun Gartenstuhl Carina besteht aus einem anthrazitfarbenen Gestell, welches aus pulverbeschichteten Stahl gefertigt ist. Die Sitz- und Rückenfläche ist aus robustem Akazienholz gefertigt. Da der Stuhl stapelbar ist, lässt er sich platzsparend verstauen. Um die Optik von Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege."
"Sunfun

Gartenmöbel-Set Diana/My",https://media.cdn.bauhaus/m/1435280/15.jpg,Das Sunfun Gartenmöbel-Set Diana/My besteht aus dem Sunfun Gartentisch Diana und 4 My Gartensesseln.
"Plus

Sitzgruppen-Set Basic",https://media.cdn.bauhaus/m/441514/15.jpg,"Der Basic Picknicktisch von Plus bietet durch Sitzgelegenheiten an jeder Tischseite großzügig Platz und lädt zum Verweilen ein. Die Oberflächen sind aus ölbehandelter Lärche gefertigt und das Gestell aus feuerverzinktem Stahl. Diese Kombination sorgt nicht nur für Robustheit, sondern auch für ein modernes, schlichtes Design."
"Plus

Sitzgruppen-Set Zigma",https://media.cdn.bauhaus/m/183784/15.jpg,"Der Picknicktisch Zigma von Plus zeichnet sich durch das zickzack-förmige Gestell aus. Die Oberflächen sind aus ölbehandelter Lärche gefertigt und das Gestell aus feuerverzinktem Stahl. Diese Kombination sorgt nicht nur für Robustheit, sondern auch für einen dynamischen, modernen Look. Diese Variante verbindet zwei Versionen der Zigma-Tischreihe und schafft somit Platz für bis zu 12 Personen. Das Verbindungsmodul ist aus perforiertem, feuerverzinktem Stahl gefertigt und eine Bank ist mit einer Rückenlehne ausgestattet."
Gartenmöbel-Set Cuba/Lisa,https://media.cdn.bauhaus/m/1238249/15.jpg,"Das 5-teilige Set Cuba/Lisa überzeugt durch schlichte Eleganz und hochwertige Verarbeitung. Es besteht aus einem Camping-Tisch aus Kunststoff und 4 bequemen Stapelstühlen. Die superleichten Stühle sind komplett aus Kunststoff gefertigt. Um die Optik der Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege."
